uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
153705,NormTeasdale,112,64,8,0,4,0,1368310314
687019,kikkoM,111,102,3,0,0,0,1337809972
346758,kukuk,111,3,12,0,12,0,1375942358
42045,Waldrenner,109,91,6,0,0,0,1322155397
10593,Chrissi,109,91,4,0,1,0,1348476036
1339712,Sylrose Charles,107,41,8,0,7,0,1373047568
190338,sarchittuorg,107,80,9,0,0,0,1331059888
4526,EdoM,105,96,3,0,0,0,1184014199
92274,adjuva,105,9,2,6,2,4,1401995793
978107,giannettoflot,103,79,4,0,2,0,1355246778
234817,Lohe,102,72,6,0,2,0,1387578739
93404,carlod,102,36,13,3,0,0,1286447641
57546,alessandra,101,98,1,0,0,0,1311758632
226425,Nicola Soranzo,100,7,31,0,0,0,1305760117
71829,MarcelloB,100,55,5,0,5,0,1346786529
36894,rab,99,0,11,0,11,0,1385668207
11976,Map47,99,0,11,0,11,0,1357495729
640203,sergio c,99,93,2,0,0,0,1333812289
332420,tlavaj00,97,91,2,0,0,0,1317227767
40902,DrDriss,97,73,8,0,0,0,1369340996
684662,Carlo L,95,26,23,0,0,0,1337454381
90689,HansJ,95,14,9,2,4,2,1389654147
1410045,Norway77,94,94,0,0,0,0,1367495009
249112,philou1269,94,94,0,0,0,0,1313532385
415068,cosmopulito,93,69,8,0,0,0,1371448890
224610,stangoodman,93,66,3,0,3,0,1401901056
26599,cdavila,93,3,22,0,4,0,1401443201
430890,sheruinza,93,12,27,0,0,0,1302274895
631582,Joecool69,90,24,22,0,0,0,1332354697
459721,hedu,89,86,1,0,0,0,1316368060
40653,gps_maus,88,73,5,0,0,0,1242771736
1208608,navox,86,83,1,0,0,0,1361308268
333474,burn,86,71,3,0,1,0,1313864447
759888,focagialla,84,45,5,0,4,0,1343255864
200407,Steinquetscher,83,77,2,0,0,0,1279902695
1493527,Bingio,82,82,0,0,0,0,1369750675
335006,ikko,81,78,1,0,0,0,1301839426
181135,Manu1400,81,6,13,0,6,0,1388115407
35705,Merio,81,72,3,0,0,0,1211151502
574805,Baruminese,79,67,2,0,1,0,1325442652
193512,Pyknite,78,66,4,0,0,0,1307836755
259436,reality,78,21,9,0,5,0,1307447053
918434,Tomcat__,77,35,8,0,3,0,1348605453
384084,Kostik,77,14,19,0,1,0,1398498773
400505,clod#6,77,77,0,0,0,0,1298640114
219191,ernie 0815,76,76,0,0,0,0,1285270112
1402274,gop82,76,64,4,0,0,0,1367851436
1345567,PièBallo,76,58,6,0,0,0,1365588257
2091514,Tabibujua,75,57,2,0,2,0,1401294535
1948101,carlocarlocarlo,75,54,5,0,1,0,1393031742
183753,Menz,73,55,6,0,0,0,1401899540
28559,Stemby,73,52,7,0,0,0,1340752000
1964909,Ciampolino,72,63,3,0,0,0,1393942432
252933,Eric Jul,71,56,5,0,0,0,1317627148
1131234,ROBono,70,34,4,0,4,0,1355325821
437598,dmgroom_ct,70,16,5,1,4,1,1398532395
18015,chan,70,31,5,0,4,0,1379932284
1722302,Michele Muggiri,70,16,6,0,6,0,1378798881
49225,gvf,69,60,3,0,0,0,1310602150
632014,Etx Txu,69,63,2,0,0,0,1346239680
1726376,Massimiliano Sarigu,69,33,4,0,4,0,1377597327
11884,mic_mas,69,69,0,0,0,0,1218391055
